server_time,esp_millis,ecg,resp
1759864386.0357497,1404527.0,-1.0,-2.0
1759864386.0601404,1404547.0,-1.0,-2.0
1759864386.0754554,1404567.0,-1.0,-2.0
1759864386.0959184,1404587.0,-2.0,-2.0
1759864386.119694,1404607.0,-3.0,-2.0
1759864386.135787,1404627.0,-3.0,-2.0
1759864386.1557653,1404647.0,-2.0,-2.0
1759864386.1799877,1404667.0,-2.0,-2.0
1759864386.1958513,1404687.0,-1.0,-2.0
1759864386.2161076,1404707.0,0.0,-2.0
1759864386.235646,1404727.0,-1.0,-2.0
1759864386.2564783,1404747.0,-2.0,-2.0
1759864386.2754788,1404767.0,-1.0,-2.0
1759864386.3084767,1404787.0,0.0,-2.0
1759864386.315663,1404807.0,-1.0,-2.0
1759864386.3359532,1404827.0,-1.0,-2.0
1759864386.3568285,1404847.0,2.0,-2.0
1759864386.3893807,1404867.0,5.0,-2.0
1759864386.3967493,1404887.0,4.0,-2.0
1759864386.419233,1404907.0,2.0,-2.0
1759864386.4352994,1404927.0,2.0,-2.0
1759864386.459433,1404947.0,2.0,-2.0
1759864386.4759753,1404967.0,2.0,-2.0
1759864386.499286,1404987.0,1.0,-2.0
1759864386.5170043,1405007.0,1.0,-2.0
1759864386.5362606,1405027.0,0.0,-2.0
1759864386.5576146,1405047.0,0.0,-2.0
1759864386.58026,1405067.0,1.0,-2.0
1759864386.595758,1405087.0,1.0,-2.0
1759864386.6163578,1405107.0,0.0,-2.0
1759864386.6356359,1405127.0,-1.0,-2.0
1759864386.6562164,1405147.0,-1.0,-2.0
1759864386.6755369,1405167.0,-1.0,-2.0
1759864386.6961405,1405187.0,-1.0,-2.0
1759864386.7169032,1405207.0,-1.0,-2.0
1759864386.744171,1405227.0,-1.0,-2.0
1759864386.7556922,1405247.0,-1.0,-2.0
1759864386.782773,1405267.0,-1.0,-2.0
1759864386.7965665,1405287.0,-1.0,-2.0
1759864386.824388,1405307.0,-1.0,-2.0
1759864386.8458781,1405327.0,-1.0,-2.0
1759864386.8589678,1405347.0,-2.0,-2.0
1759864386.875538,1405367.0,-1.0,-2.0
1759864386.8958557,1405387.0,-1.0,-2.0
1759864386.9166296,1405407.0,-1.0,-2.0
